title,nhan_that,du_doan,confidence,loai_loi,nguyen_nhan,huong_xu_ly,desc_100
Java Engineer,Other IT Role,Software Engineer,-0.5749010105631406,FP/FN,Other IT Role quá rộng,"Thêm char n-gram (2,4) để phân biệt từ kỹ thuật đặc thù",your responsibilities participate in innovative software development life cycle using agile methodologies adhere to the 
Technical Art Lead,Other IT Role,Game Developer,-0.14286933619710118,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,summary technical artist will develop and maintain robust art pipelines custom tools shaders and visual effects for ultr
Developer (BA),Other IT Role,Business Analyst,-0.41076406197509163,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc 1. hỗ trợ vận hành và giám sát hệ thống vận hành giám sát và đảm bảo hoạt động ổn định của các hệ thống 
Software Internship,Software Engineer,Other IT Role,-0.05710737569613106,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,chương trình tuyển dụng và đào tạo tài năng trẻ khối ngành công nghệ thông tin từ một trong những công ty hàng đầu lĩnh 
Data Engineer Intern,Other IT Role,Data Engineer,0.12158232317936912,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,schaeffler is a dynamic global technology company and its success has been a result of its entrepreneurial spirit and lo
Middle Ruby On Rails,Other IT Role,Backend Developer,-0.1476136355287665,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,mô tả công việc participate in the development and maintenance of web applications based on ruby on rails. participating
QC Engineer (Fresher/Junior),Other IT Role,QA Engineer,-0.22846729462695847,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,who are we amaris consulting is an independent technology consulting firm providing guidance and solutions to businesses
Python Developer,Backend Developer,Other IT Role,-0.3331771447815641,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,job backend lead python react.js/next.js location hcmc key responsibilities lead the technical direction of projects by 
"Automation Software Engineer (Python, JavaScript, C#)",Other IT Role,QA Engineer,-0.10100237196474338,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,we are seeking a dynamic and motivated automated test engineer to develop and execute automated tests for our software a
"PHP Web Application Developer (net salary $900-$1,500)",Other IT Role,Backend Developer,-0.3401574783781105,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,we are looking for a proactive and skilled php laravel developer to join our growing team. you will play a key role in d
"Thực Tập Sinh PHP (Sinh Viên Năm Cuối, Backend)",Backend Developer,Other IT Role,-0.5016671471708583,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc lịch phỏng vấn dự kiến từ ngày 01/07/2025 trở đi quy trình tuyển dụng test chuyên môn phỏng vấn trực tiế
Automation Specialist (Fullstack),Other IT Role,Full-stack Developer,0.08903286753020856,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us friendly international environment passionate colleagues competitive salary job description are
DEV-OPS ENGINEER,DevOps Engineer,Other IT Role,-0.4561374560157049,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc thiết kế triển khai và bảo trì các pipeline ci / cd cho các ứng dụng của chúng tôi bao gồm triển khai tự
Java Software Engineer,Backend Developer,Software Engineer,0.1818963776813317,FP/FN,Chồng lấp ngữ nghĩa,Feature importance: tìm từ nào khiến Backend bị nhầm thành SE,job description work in a team of engineers to implement backend services in the platform build service definitions open
Kỹ Sư Phát Triển Phần Mềm,Embedded Engineer,Software Engineer,0.11750040451953037,FP/FN,Thiếu tín hiệu đặc trưng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc tham gia và được đào tạo trong quá trình nghiên cứu phát triển sản phẩm điện tử trên ô tô phát triển mcu
Java Developer,Java Developer,Backend Developer,-0.17954345099586821,FP/FN,Chồng lấp ngữ nghĩa,"Thêm skill keyword ""java"" × 2 để tăng tín hiệu",mô tả công việc develop minor and simple components or modules of the products use common development tools such as comp
Fullstack Developer,Other IT Role,Full-stack Developer,0.7907754672758729,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc collaborate with the software development team to define project scopes and scales. design robust softwa
Kỹ Sư PLC_Không Yêu Cầu Kinh Nghiệm,Other IT Role,Embedded Engineer,0.6874948141616266,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc mô phỏng lập trình chạy thử hệ thống tự động hóa tích hợp plc siemens robot công nghiệp abb và các thiết
Lead Software Engineer (ReactJS/ SIGN-ON BONUS),Other IT Role,Frontend Developer,-0.3280894699660928,FP/FN,Other IT Role quá rộng,Phân tích tin có mô tả ngắn (<80 từ) riêng biệt,top 3 reasons to join us sign on bonus 40m a rewarded danang trip attractive package dedication bonus hybrid and flexibl
[HN] Automation test - English Fluency,Other IT Role,QA Engineer,-0.3202675112075297,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,what we do participate in testing and automation test of diverse software and systems across a wide range of domains dev
Generative AI Engineer,Other IT Role,AI Engineer,0.8632027613238327,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,1.mô tả công việc nghiên cứu thử nghiệm và triển khai các mô hình generative ai ứng dụng trong bài toán rag agents và ai
Senior Java Software Engineer,Software Engineer,Other IT Role,-0.5348866939271762,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,company description kms technology was established in 2009 as a u.s. based software services company. with development c
Junior Dev Odoo,Backend Developer,Other IT Role,-0.18281697957528475,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,tham gia trực tiếp vào team dự án phát triển và triển khai hệ thống odoo nội bộ và cho các khách hàng công việc cụ thể +
"[Remote] Senior/Team Lead PHP Developer (Zend, Laravel)",Backend Developer,Full-stack Developer,-0.5132473579162108,FP/FN,Thiếu tín hiệu đặc trưng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us attractive salary benefits hybrid working technical training sessions internal external pvi hea
ML Ops Co-Founders Wanted | Experts in Machine Learning Infrastructure & Automation,Other IT Role,DevOps Engineer,-0.2043312521734566,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,about antler we are a global early stage investment firm that invests in startups from day zero. we provide funding ment
"IT Team Leader (Java Spring Boot, ReactJS)",Other IT Role,Full-stack Developer,-0.20451680254564975,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us mức lương hấp dẫn dự án và công nghệ thử thách thú vị môi trường làm việc năng động tự do sáng 
"Big Data Engineer (Java, Scala, SQL)",Other IT Role,Data Engineer,-0.10522977718006565,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us dẫn đầu thị trường cơ hội thử thách và phát triển bản thân môi trường làm việc năng động job de
SQL Developer (Oracle – Middle/Senior),Other IT Role,Data Engineer,-0.5102045461239176,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc phát triển và tối ưu các truy vấn sql stored procedures packages trên oracle. thực hiện etl xử lý dữ liệ
Senior .Net Developer,Other IT Role,Backend Developer,-0.254409227606199,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,1. nội dung công việc xây dựng các ứng dụng phục vụ công việc tại công ty bao gồm xây dựng và nâng cấp các phần mềm cho 
Chuyên viên Triển khai và hỗ trợ phần mềm y tế (SQL),Other IT Role,Software Engineer,-0.33530895946135186,FP/FN,Other IT Role quá rộng,"Thêm char n-gram (2,4) để phân biệt từ kỹ thuật đặc thù",tham gia triển khai và hỗ trợ cài đặt phần mềm y tế trong hệ thống sản phẩm của công ty tiếp nhận các yêu cầu của khách 
Server Developer (C Language),Backend Developer,Other IT Role,-0.12182714864688549,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc develop server side systems using unix/linux c programming within the kiwoom platform utilizing cisam ip
Deputy head of Data Services development,Other IT Role,Data Engineer,-0.1675214651939746,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,lynkid is a pioneering fintech company specializing in customer loyalty services and data integration under a leading fi
[HN_Hybrid]_Java Engineer (English Fluency),Other IT Role,Backend Developer,-0.5453963781275599,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,what we do at sun asterisk we build cutting edge high performance systems to tackle complex challenges. as a developer y
"System Engineer (Embedded, Linux)",Other IT Role,Embedded Engineer,-0.0868348050584522,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us attractive salary benefit yearly performance bonus 2 times/year premium health insurance job de
MIDDLE JAVA DEVELOPER,Java Developer,Backend Developer,-0.2676263495993,FP/FN,Chồng lấp ngữ nghĩa,"Thêm skill keyword ""java"" × 2 để tăng tín hiệu",mô tả công việc phát triển và vận hành các tính năng trong hệ sinh thái ứng dụng youmed. phối hợp chặt chẽ với khách hàn
Binance Accelerator Program - Backend Engineer (Content),Other IT Role,Backend Developer,-0.5760677594123691,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,binance is the global blockchain company behind the world s largest digital asset exchange by trading volume and users s
Automation QA Engineer,Other IT Role,QA Engineer,0.15889920785676126,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us 1. lộ trình phát triển sự nghiệp đa chiều 2. cơ hội đào tạo công tác tại nhật singapore mỹ.. 3.
Software Engineer II (Front End),Frontend Developer,Software Engineer,0.2363220599416166,FP/FN,Thiếu tín hiệu đặc trưng,Phân tích thêm feature importance để xác định từ gây nhầm,about us wati is the world s leading whatsapp first conversational growth platform empowering businesses to build deeper
"Mobile Technical Lead (iOS, Android, Kotlin, Swift)",Mobile Developer,Other IT Role,-0.08432338451929486,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,are you an experienced mobile technical lead looking for your next career move do you have a background in design archit
"Lập Trình Viên C, C++",Software Engineer,Other IT Role,-0.3471306379684955,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,làm việc tại kobe nhật bản đối tượng nhận ứng viên từ việt nam sang nhật hoặc đang sinh sống và làm việc tại nhật lập tr
Backend/ Cloud Engineer,Other IT Role,Backend Developer,-0.59010298038109,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,top 3 reasons to join us lộ trình phát triển sự nghiệp đa chiều cơ hội đào tạo công tác tại nhật singapore mỹ.. mức lươn
DevOps Engineer Intern,Other IT Role,DevOps Engineer,-0.31077201494994366,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,kms technology was established in 2009 as a u.s. based software services company. with development centers in vietnam an
Senior Java Developer,Backend Developer,Java Developer,0.38820512583105793,FP/FN,Chồng lấp ngữ nghĩa,Giữ nguyên – hai lớp thực sự chồng lấp ngữ nghĩa,mô tả công việc tham gia phát triển các dự án mảng tài chính số viettel pay ví cá nhân ví doanh nghiệp ... . cung cấp sả
Kotlin Developer (Fresher),Other IT Role,Mobile Developer,-0.36056184584681195,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc develop and integrate kotlin multiplatform modules targeting android and ios design and implement clean 
Kỹ Sư Lập Trình C,Backend Developer,Software Engineer,-0.359132224157911,FP/FN,Chồng lấp ngữ nghĩa,Feature importance: tìm từ nào khiến Backend bị nhầm thành SE,tham gia từ giai đoạn thiết kế đến triển khai sản phẩm của siêu dự án phát triển phần mềm cad cho khách hàng nhật bản. d
DEV-OPS ENGINEER,DevOps Engineer,Other IT Role,-0.44278768336129926,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,thiết kế triển khai và bảo trì các pipeline ci / cd cho các ứng dụng của chúng tôi bao gồm triển khai tự động kiểm thử t
Unity Developer,Game Developer,Other IT Role,-0.40779508094952566,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc chịu trách nhiệm xây dựng hệ thống và phát triển các dự án mobile game bằng unity trên android ios dòng 
Senior Golang Developer,Backend Developer,Other IT Role,-0.3899313346004771,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,about us at our company we re a team that is hardworking logical and fast to execute. we don t care what your degree is.
HCM-REQ Senior NodeJS,Backend Developer,Other IT Role,-0.29298370388831574,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,job description developing and maintaining all server side network components. ensuring optimal performance of the centr
Computer Vision Engineer,Other IT Role,AI Engineer,-0.030924969982137673,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,aimesoft là nơi quy tụ những chuyên gia ứng dụng ai nhằm giải quyết những vấn đề thực tiễn. sứ mệnh của aimesoft là đồng
"Automation Tester (QA QC, Tester, English)",Other IT Role,QA Engineer,0.3212843578841702,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us 1. international professional working environment 2. opportunities to travel to europe for trai
Senior React Native Good English,Frontend Developer,Mobile Developer,0.5139173228791047,FP/FN,Thiếu tín hiệu đặc trưng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc build pixel perfect buttery smooth uis across both mobile platforms. leverage native apis for deep integ
Generative AI Engineer,Other IT Role,AI Engineer,-0.5091561882057573,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,activefence is the leading tool stack for trust safety teams worldwide. by relying on activefence s end to end solution 
Nhân Viên Wordpress Developer,Other IT Role,Frontend Developer,-0.15033118322605687,FP/FN,Other IT Role quá rộng,Phân tích tin có mô tả ngắn (<80 từ) riêng biệt,mô tả công việc tham gia xây dựng hệ thống website lập trình web dựa trên mã nguồn wordpress. có kinh nghiệm về ui/ux xâ
Fresher Automation Test Engineer (QA/QC/Tester),Software Engineer,QA Engineer,-0.1683570624910643,FP/FN,Thiếu tín hiệu đặc trưng,Phân tích thêm feature importance để xác định từ gây nhầm,company description kms technology was established in 2009 as a u.s. based software services company. with development c
Middle Java Developer,Java Developer,Backend Developer,-0.23110706038738915,FP/FN,Chồng lấp ngữ nghĩa,"Thêm skill keyword ""java"" × 2 để tăng tín hiệu",mô tả công việc phát triển và maintain các hệ thống của kh trên mô hình spring mvc. hiểu biết về hệ quản trị dữ liệu ora
